key;description;en;de
Summary View;Tab title of the sun summary view;Summary;Übersicht
Solar Summary for Location;Title of the solar summary for a location;Summary for {name};Übersicht für {name}
Locations View;Tab title for the location list view;Locations;Orte
Current Location Name;Default name for the current location entry;Current Location;Aktueller Standort
Solar Plants View;Tab title for the solar plants list view;Solar Plants;Solaranlagen
Expected energy;Label expected energy yearly;Expected energy yearly;Erwartete Energie jährlich
Expected energy monthly daily;Label expected energy with monthly and daily breakdown in month;daily / monthly;täglich / monatlich
Add solar plant;Button text to add a new solar plant;Add solar plant;Solaranlage hinzufügen
No solar plants;Label when no solar plants are configured;No solar plants configured.;Keine Solaranlagen konfiguriert.
Add a solar plant to get started;Description text when no solar plants are configured;Add a solar plant to get started;Fügen Sie eine Solaranlage hinzu, um zu beginnen
AR View;Tab title for the AR view;AR View;AR Ansicht
Initializing AR;Label shown when AR view is initializing;Initializing AR...;AR wird initialisiert...
Settings;Settings Dialog Name;Settings;Einstellungen
ar settings;AR settings section title;AR Settings;AR Einstellungen
purchase settings;Purchase settings section title;Purchases;Käufe
purchase enabled;display state of purchase;Unlocked;Freigeschaltet
purchase disabled;display state of purchase;Locked;Gesperrt
purchase button;Button text to purchase;Unlock;Freischalten
purchase Processing;Label when purchase is processing;Processing...;Wird verarbeitet..
purchased lifetime;short label when lifetime purchase is done;Lifetime Unlocked;Lebenslang freigeschaltet
Restore Purchases;Button text to restore purchases;Restore Purchases;Käufe wiederherstellen
available products;Available products section title;Available Products;Verfügbare Käufe
already purchased;Label display below restore purchase button;Already purchased? Restore here.;Bereits gekauft? Hier wiederherstellen.
location limit title;Alert title when location limit is reached;Location Limit Reached;Standortlimit erreicht
location limit message;Alert message explaining location limit;"You have reached the maximum of {0} locations for free users. Upgrade to Unlimited Storage to add more locations.";"Sie haben das Maximum von {0} Standorten für kostenlose Benutzer erreicht. Upgraden Sie auf Unlimited Storage, um weitere Standorte hinzuzufügen."
solar plant limit title;Alert title when solar plant limit is reached;Solar Plant Limit Reached;Solaranlagenlimit erreicht
solar plant limit message;Alert message explaining solar plant limit;"You have reached the maximum of {0} solar plants for free users. Upgrade to Unlimited Storage to add more solar plants.";"Sie haben das Maximum von {0} Solaranlagen für kostenlose Benutzer erreicht. Upgraden Sie auf Unlimited Storage, um weitere Solaranlagen hinzuzufügen."
Clear Text;Clear button text;Clear;Löschen
Done Text;Done button text;Done;Fertig
Cancel Text;Cancel button text;Cancel;Abbrechen
General Settings;General settings section title;General Settings;Allgemeine Einstellungen
"Show Sky Rotation Settings";"Show sun offset toggle label";Show Sun Offset Carousel;Sonnenversatz-Carousel anzeigen
"Show Sky Rotation Description";"Description for show sun offset setting";Display an additional carousel to manually adjust the sun’s horizontal offset in the AR view.;Zeigt ein zusätzliches Carousel, mit dem sich der horizontale Sonnenversatz in der AR-Ansicht manuell anpassen lässt.
Language Settings;Language selection label;Language;Sprache
Show Help Badges Settings;Show help badges toggle label;Show Help Badges;Hilfehinweise anzeigen
AR Reset;AR view reset button text (very short, use language specific translation with care);AR;AR
Monthly Text; Monthly menu text selection;Monthly View;Monatliche Ansicht
Daily Text; Daily menu text selection;Daily View;Tägliche Ansicht
Hourly Text; Hourly menu text selection;Hourly View;Stündliche Ansicht
Sun Offset; Sun offset carousel hint text (horizontal offset of the view to the sun);Sun Offset;Sonnenversatz
Compass Label;Label from North clockwise in 45° distance, spaced by # symbol = 8 directions;N#NE#E#SE#S#SW#W#NW;N#NO#O#SO#S#SW#W#NW
